RCT_ID,Title,Primary Investigator,DOI Number,First registered on,RCT_ID_num
AEARCTR-0001371,Benchmarking development programs: a preference-based approach,Jeremy Shapiro,10.1257/rct.1371-5.0,2016-06-23,1371
AEARCTR-0001373,Integrating value chains to improve food safety and increase smallholder incomes in Kenya,Vivian Hoffmann,10.1257/rct.1373-3.0,2016-06-23,1373
AEARCTR-0001374,Performance effects of managerial discretion ,Matthias Heinz,10.1257/rct.1374-2.0,2016-06-24,1374
AEARCTR-0001375,Supporting mothers of preterm infants: A randomized controlled trial,Margaret McConnell,10.1257/rct.1375-6.0,2016-09-16,1375
AEARCTR-0001378,Election Fraud and Government Legitimacy in Afghanistan,Michael Callen,10.1257/rct.1378-1.0,2016-07-01,1378
AEARCTR-0001379,What Is It About Communicating With Parents?,Guilherme Lichand,10.1257/rct.1379-1.1,2016-06-26,1379
AEARCTR-0001380,The Psychological Effects of Poverty on Parenting,Guilherme Lichand,10.1257/rct.1380-1.0,2016-06-26,1380
AEARCTR-0001381,The Nuts and Bolts of SMS for Parental Engagement,Guilherme Lichand,10.1257/rct.1381-1.0,2016-06-26,1381
AEARCTR-0001384,"Evaluation of the ""OneSky"" Early Childhood Intervention Programme",Shaoping Li,10.1257/rct.1384-4.0,2016-06-27,1384
AEARCTR-0001385,National Guard Youth ChalleNGe Evaluation,Dan Bloom,10.1257/rct.1385-1.0,2017-01-13,1385
AEARCTR-0001386,How do unions solve their collective action problem?,Suresh Naidu,10.1257/rct.1386-1.0,2016-06-30,1386
AEARCTR-0001389,Harnessing the Development Benefits of International Migration: A Randomized Evaluation of Enhanced Pre-Departure Orientation Seminars for Migrants from the Philippines,Toman Barsbai,10.1257/rct.1389-2.2,2016-07-28,1389
AEARCTR-0001392,Emergency Savings Accounts for Remittance Receivers in Mexico,Dean Karlan,10.1257/rct.1392-1.0,2016-07-26,1392
AEARCTR-0001393,"Social Accountability, Information and Networks for Health Care Delivery",Manoj Mohanan,10.1257/rct.1393-3.0,2016-08-10,1393
AEARCTR-0001394,Socio-Emotional Learning for At-Risk Students in Urban Schools in Lima,PAUL GERTLER,10.1257/rct.1394-1.0,2016-07-05,1394
AEARCTR-0001397,Time as an Incentive in the Workplace,Timo Vogelsang,10.1257/rct.1397-1.0,2016-07-11,1397
AEARCTR-0001398,A Study of Donations at Supermarket Cash Registers,David Klinowski,10.1257/rct.1398-1.0,2016-06-30,1398
AEARCTR-0001402,Team Production in International Labor Markets: Experimental Evidence from the Field,Elizabeth Lyons,10.1257/rct.1402-4.0,2016-07-01,1402
AEARCTR-0001408,Growth hormone administration on uterine receptivity in women with recurrent implantation failure in an oocyte donation program,Signe Altmäe,10.1257/rct.1408-1.0,2016-07-03,1408
AEARCTR-0001411,Improving Community College Effectiveness Through Performance Incentives,Andy Brownback,10.1257/rct.1411-2.0,2016-07-08,1411
AEARCTR-0001412,Consequences of Media Censorship,David Y. Yang,10.1257/rct.1412-2.0,2016-07-12,1412
AEARCTR-0001414,To Charge or Not to Charge: Pricing Health Products in Northern Uganda,Dean Karlan,10.1257/rct.1414-1.0,2016-07-20,1414
AEARCTR-0001415,Childcare Indivisibility and Maternal Employment,Claudia Martinez A.,10.1257/rct.1415-1.0,2017-03-06,1415
AEARCTR-0001416,Do Micro-Entrepreneurship Programs Increase Wage-Work? Evidence from Chile,Claudia Martinez A.,10.1257/rct.1416-1.0,2016-08-04,1416
AEARCTR-0001417,Building State Capacity: Evidence from Biometric Smartcards in India,Sandip Sukhtankar,10.1257/rct.1417-1.0,2016-09-16,1417
AEARCTR-0001421,Are Consumers Poorly-Informed about Fuel Economy?,Hunt Allcott,10.1257/rct.1421-1.0,2016-09-04,1421
AEARCTR-0001423,"Beliefs, Coordination, and the Evolution of Political Movements in Real Time",David Y. Yang,10.1257/rct.1423-3.0,2016-07-12,1423
AEARCTR-0001424,"Promoting High-Impact Entrepreneurship: An Evaluation of a Mexican Government Matching Grant Scheme
",David Atkin,10.1257/rct.1424-1.0,2016-12-21,1424
AEARCTR-0001426,Gender Differences in the Effects of Vocational Training: Constraints on Women and Drop-Out Behavior,Ahmed Mobarak,10.1257/rct.1426-1.0,2016-08-17,1426
AEARCTR-0001428,"Business Training for Women in Ahmedabad, India",Seema Jayachandran,10.1257/rct.1428-1.0,2016-12-13,1428
AEARCTR-0001429,The Effect of a Nonpartisan Get-Out-the-Vote Drive in the United States,Donald Green,10.1257/rct.1429-1.0,2016-07-20,1429
AEARCTR-0001430,Do Robotic Calls from Credible Sources Influence Voter Turnout or Vote Choice?,Donald Green,10.1257/rct.1430-1.0,2016-07-20,1430
AEARCTR-0001431,Muslim Adolescents and Authority: Behavioral Experiments in Pakistan,Alexandra Avdeenko,10.1257/rct.1431-1.0,2016-07-16,1431
AEARCTR-0001432,Preventing HIV and Teen Pregnancy in Kenya: The Roles of Teacher Training and Education Subsidies,Pascaline Dupas,10.1257/rct.1432-1.0,2016-07-19,1432
AEARCTR-0001433,Borrow Less Tomorrow: Behavioral Approaches to Debt Reduction,Dean Karlan,10.1257/rct.1433-1.0,2017-04-11,1433
AEARCTR-0001434,Improving Full Immunization Rates in Haryana: Evaluating Incentives and Communication Methods,Esther  Duflo,10.1257/rct.1434-4.0,2016-10-06,1434
AEARCTR-0001436,"Perils of pressure in promoting merit goods: Evidence from a sales experiment in India
",Camille  Boudot,10.1257/rct.1436-1.0,2017-02-16,1436
AEARCTR-0001437,Who Chooses to Sell to the Government? Screening and Barriers to Entry in Brazilian Public Procurement,Michael Best,10.1257/rct.1437-1.0,2016-07-20,1437
AEARCTR-0001439,Community Reconciliation in Sierra Leone,Jacobus CILLIERS,10.1257/rct.1439-1.0,2016-12-19,1439
AEARCTR-0001440,Scoring a goal: How sports may enhance cognitive and non-cognitive abilities of children. An experimental study of football in Lima  - Peru,Pilar CAF,10.1257/rct.1440-2.0,2016-07-21,1440
AEARCTR-0001441,Effectiveness of provider incentives for anaemia reduction in rural China: a cluster randomised trial,Grant Miller,10.1257/rct.1441-1.0,2016-08-23,1441
AEARCTR-0001443,"On the mechanics of kleptocratic states: Administrators’
power, protectors, and taxpayers’ false confessions",Raul Sanchez de la sierra,10.1257/rct.1443-1.0,2016-07-21,1443
AEARCTR-0001446,From natural variation to optimal policy? The importance of endogenous peer group formation.,Bruce Sacerdote,10.1257/rct.1446-1.0,2016-07-27,1446
AEARCTR-0001449,Educational Incentives for Parents and Children in India,James Berry,10.1257/rct.1449-1.0,2018-05-23,1449
AEARCTR-0001452,Impact of Rainfall Insurance on Farmer Behavior in India,Shawn Cole,10.1257/rct.1452-1.0,2016-08-26,1452
AEARCTR-0001453,Dependence Duration and Labor Market Conditions: Evidence from the United States,Matthew Notowidigdo,10.1257/rct.1453-1.0,2016-10-14,1453
AEARCTR-0001454,Impact evaluation of a Business Ethics Program in a Mexican Company,Eugenio Gomez-Alatorre,10.1257/rct.1454-9.0,2016-09-07,1454
AEARCTR-0001456,"Gender Norms, the Dating Market, and Job Search",Thomas Fujiwara,10.1257/rct.1456-3.0,2016-07-31,1456
AEARCTR-0001457,Using Twitter and Sales Targets to Transform SMEs Project Evaluation: Pre-Analysis Plan,Samantha Horn,10.1257/rct.1457-1.0,2016-07-27,1457
AEARCTR-0001458,The Effect of Wealth on Individual and Household Labor Supply: Evidence from Swedish Lotteries,Matthew Notowidigdo,10.1257/rct.1458-4.0,2016-10-14,1458
AEARCTR-0001459,Putting the Party Back into Politics: An Experiment Testing Whether Election Day Festivals Increase Voter Turnout,Donald Green,10.1257/rct.1459-1.0,2016-08-14,1459
AEARCTR-0001462,The Effect of Prepaid Postage on Turnout: A Cautionary Tale for Election Administrators,Donald Green,10.1257/rct.1462-1.0,2016-11-04,1462
AEARCTR-0001463,More than Brides Alliance: Evaluation of Interventions to Delay Marriage,Sajeda Amin,10.1257/rct.1463-1.1,2016-08-04,1463
AEARCTR-0001466,The Profitability of Fertilizer in Mali,Lori Beaman,10.1257/rct.1466-1.0,2016-10-20,1466
AEARCTR-0001467,The Impact of Personal Experiences on Insurance Take-Up in China,Jing Cai,10.1257/rct.1467-1.0,2016-10-17,1467
AEARCTR-0001469,Evidence on Performance-Based Pay from School-Based Nutrition Programs in Rural China,Grant Miller,10.1257/rct.1469-1.0,2017-03-01,1469
AEARCTR-0001470,Moving to Opportunity or Isolation? Network Effects of a Slum Relocation Program in India,Rohini Pande,10.1257/rct.1470-1.0,2016-11-08,1470
AEARCTR-0001471,Promoting Sustainable Farming Practices in Malawi,Ahmed Mobarak,10.1257/rct.1471-3.0,2016-08-17,1471
AEARCTR-0001472,The Heterogeneous Effects of Summer Jobs,Jonathan Davis,10.1257/rct.1472-2.0,2017-05-17,1472
AEARCTR-0001473,Improving Working Memory,Clare Delargy,10.1257/rct.1473-2.0,2016-08-02,1473
AEARCTR-0001474,Closing the Knowledge gap? Two planned interventions aimed at low-SES children,Michael Rosholm,10.1257/rct.1474-1.0,2018-06-16,1474
AEARCTR-0001475,Can Active Labor Market Policies Combat Youth Unemployment in Denmark?,Michael Rosholm,10.1257/rct.1475-1.0,2016-08-21,1475
AEARCTR-0001476,OpportunityZero-Six. An Experiment on Conditional Cash Transfers for Families with Young Children,Daniela Del Boca,10.1257/rct.1476-7.0,2016-08-04,1476
AEARCTR-0001478,Formal Rainfall Insurance for the Informally Insured in India,Ahmed Mobarak,10.1257/rct.1478-1.0,2016-08-17,1478
AEARCTR-0001479,"Neural mobilization versus low level laser therapy in treating patients
 with chronic Lateral elbow tendinopathy:RCT
",Azza Atya,10.1257/rct.1479-2.0,2016-08-06,1479
AEARCTR-0001480,Impact of Short-Term Tutoring on Cognitive and Non-Cognitive Skills in Chile,Francisco Gallego,10.1257/rct.1480-1.0,2017-02-22,1480
AEARCTR-0001482,"Monitoring Employees: A Principal-Agent Approach to Contracts, Safety and Productivity in Kenya’s Informal Public Transport Industry",David Schoenholzer,10.1257/rct.1482-2.0,2016-09-14,1482
AEARCTR-0001483,The Future in Mind: Aspirations and Forward-Looking Behaviour in the Short and Long Run in Rural Ethiopia,Kate Orkin,10.1257/rct.1483-2.1,2017-02-14,1483
AEARCTR-0001484,Impact of Cash Transfers on Income Distribution,Kate Orkin,10.1257/rct.1484-4.0,2016-12-01,1484
AEARCTR-0001488,The role of information and radios on political knowledge in Sierra Leone,Edward Miguel,10.1257/rct.1488-2.0,2016-08-18,1488
AEARCTR-0001490,The Enhanced Reading Opportunities Study,William Corrin,10.1257/rct.1490-1.0,2016-09-30,1490
AEARCTR-0001492,Why the Referential Treatment?: Evidence from Field Experiments on Referrals,Amanda Pallais,10.1257/rct.1492-1.0,2016-09-13,1492
AEARCTR-0001494,Job Counseling and Vocational Training for Workers on Extended Sick Leave in Denmark,Michael Rosholm,10.1257/rct.1494-1.0,2019-05-06,1494
AEARCTR-0001495,Job Fairs and Firm Recruitment in Addis Ababa,Simon Franklin,10.1257/rct.1495-2.0,2016-08-15,1495
AEARCTR-0001496,Response bias and surveyor identity in field evaluations,Rachel Cassidy,10.1257/rct.1496-4.0,2016-09-23,1496
AEARCTR-0001497,Experimental Evidence on Attitudes to Price Uncertainty,Marc F. Bellemare,10.1257/rct.1497-1.0,2016-08-18,1497
AEARCTR-0001498,Accuracy and Updating: How Labels and Initial Performance Affect Teacher Grading,James Chu,10.1257/rct.1498-1.0,2016-08-20,1498
AEARCTR-0001500,Impacts of Noise on Worker Productivity and Decision-making ,Joshua Dean,10.1257/rct.1500-3.0,2016-09-16,1500
AEARCTR-0001501, Partnership Schools for Liberia (PSL) program evaluation,Mauricio Romero,10.1257/rct.1501-6.3999999999999995,2016-08-30,1501
AEARCTR-0001502,Does Development Aid Undermine Political Accountability in Bangladesh?,Ahmed Mobarak,10.1257/rct.1502-1.0,2016-08-27,1502
AEARCTR-0001503,Disaggregating the Effects of Deliberation on Policy Attitudes in the United States,Donald Green,10.1257/rct.1503-1.0,2016-11-26,1503
AEARCTR-0001504,Evaluation of the Welfare Impacts of a Livestock Transfer Program in Nepal,Nicholas Magnan,10.1257/rct.1504-4.0,2016-08-19,1504
AEARCTR-0001505,"Randomized Impact Evaluation of the Community Auxiliary
Police, Bougainville, Papua New Guinea",Jasper Cooper,10.1257/rct.1505-3.0,2016-08-20,1505
AEARCTR-0001506,Effect of Astym therapy versus kinesiotaping on rotator cuff tendinopathy in diabetic patients :RCT,Azza Atya,10.1257/rct.1506-1.0,2016-08-22,1506
AEARCTR-0001513,Electoral reciprocity in programmatic redistribution: Evidence from Honduran experiments,Patrick McEwan,10.1257/rct.1513-1.0,2016-08-23,1513
AEARCTR-0001515,The Impact of Job-Specific Training on Short-Term Worker Performance: Evidence from a Field Experiment,Elizabeth Lyons,10.1257/rct.1515-3.0,2016-08-25,1515
AEARCTR-0001516,A randomized controlled trial of a brief family-centered care program for hospitalized patients with bipolar disorder and their family caregivers,Ching-Lan Lin,10.1257/rct.1516-1.0,2016-08-24,1516
AEARCTR-0001517,Can We Confront Climate Change by Picking up $20 Bills in Houses? Experimental Evidence on Programs to Reduce Residential Sector Energy Consumption,Michael Greenstone,10.1257/rct.1517-1.0,2016-08-28,1517
AEARCTR-0001519,Improving Job Search Efficiency,Jeremy Magruder,10.1257/rct.1519-2.1,2016-08-31,1519
AEARCTR-0001552,Disconnected and Uninformed: Dissecting and Dismantling India’s Gender Gap in Political Participation,Soledad Prillaman,10.1257/rct.1552-1.0,2016-08-27,1552
AEARCTR-0001554,Deferred Wages and Savings Constraints,Lasse Brune,10.1257/rct.1554-17.0,2016-11-01,1554
AEARCTR-0001555,Insuring gig workers,Sebastian Butschek,10.1257/rct.1555-3.0,2016-08-30,1555
AEARCTR-0001556,Innovation Vouchers,Jonas Heite,10.1257/rct.1556-3.0,2016-08-30,1556
AEARCTR-0001557,Timor-Leste Data Uptake Evaluation,Alena Stern,10.1257/rct.1557-2.0,2016-08-31,1557
AEARCTR-0001558,"Human Capital, Financial Capital, and the Economic Empowerment of Female Adolescents in Uganda",Imran Rasul,10.1257/rct.1558-1.0,2018-09-12,1558
AEARCTR-0001562,Evaluating the impact of an educational program based on building blocks,Vladimir Ponczek,10.1257/rct.1562-1.0,2018-04-25,1562
AEARCTR-0001563,Rural Institutional Innovation: Can Village Courts in Bangladesh Accelerate Access to Justice and Improve Socio-Economic Outcomes?,Martin Mattsson,10.1257/rct.1563-3.0,2017-03-07,1563
AEARCTR-0001564,Closing the Knowledge gap? Evaluating Letterbox Club in a Danish context ,Michael Rosholm,10.1257/rct.1564-1.0,2019-05-06,1564
AEARCTR-0001565,Rapid Technology Training Programs,Daniel Lee,10.1257/rct.1565-1.0,2016-09-09,1565
AEARCTR-0001566,Assessing the Effectiveness of Entrepreneurship Education: A Randomized Control Trial,Daniel Lee,10.1257/rct.1566-2.0,2016-09-09,1566
AEARCTR-0001567,Closing the Knowledge gap? Evaluating Paired Reading in a Danish context ,Michael Rosholm,10.1257/rct.1567-1.0,2019-05-06,1567
AEARCTR-0001572,Long-Term Effects of a Conditional Cash Transfer Program in Nicaragua,Karen Macours,10.1257/rct.1572-2.1,2018-09-04,1572
AEARCTR-0001574,Precision Agriculture using ICT,Robert On,10.1257/rct.1574-1.0,2016-10-03,1574
AEARCTR-0001578,The Impact of Violence on Mobile Money Use in Afghanistan,Michael Callen,10.1257/rct.1578-1.0,2016-10-03,1578
AEARCTR-0001580,Enabling Micro-Savings Through Mobile Banking in Sri Lanka,Craig McIntosh,10.1257/rct.1580-2.0,2016-09-28,1580
AEARCTR-0001582,E-Commerce Integration and Economic Development: Evidence from China,Benjamin Faber,10.1257/rct.1582-5.0,2016-10-06,1582
AEARCTR-0001583,Group versus Individual Liability: Short and Long Term Evidence from Philippine Microcredit Lending Groups,Dean Karlan,10.1257/rct.1583-2.0,2016-09-21,1583
AEARCTR-0001584,The Impact of Women's Political Reservation on Early Childhood Development and Learning in India,Karen Macours,10.1257/rct.1584-1.0,2016-11-10,1584
AEARCTR-0001585,Comparing Cash and Voucher Transfers in a Humanitarian Context: Evidence from the Democratic Republic of Congo,Jenny Aker,10.1257/rct.1585-1.0,2016-11-18,1585
AEARCTR-0001586,Payment Mechanisms and Anti-Poverty Programs: Evidence from a Mobile Money Cash Transfer Experiment in Niger,Jenny Aker,10.1257/rct.1586-1.0,2016-11-18,1586
AEARCTR-0001588,Self-Esteem and Demand for Social Image: Evidence from MTurk,Stefano Fiorin,10.1257/rct.1588-2.0,2016-09-17,1588
AEARCTR-0001589,"Cooking Stoves, Indoor Air Pollution, and Respiratory Health in India",Rema Hanna,10.1257/rct.1589-1.0,2016-10-03,1589
AEARCTR-0001590,The Impact of Parental Incentives on Early Childhood Development Outcomes in the United States,Roland Fryer,10.1257/rct.1590-1.0,2016-11-14,1590
AEARCTR-0001591,The 'Pupil' Factory: Specialization and the Production of Human Capital in Schools,Roland Fryer,10.1257/rct.1591-1.0,2017-01-30,1591
AEARCTR-0001592,Savings Constraints and Microenterprise Development: Evidence from a Field Experiment in Kenya ,Pascaline Dupas,10.1257/rct.1592-1.0,2016-09-27,1592
AEARCTR-0001596,Intergenerational Conflict and Schooling Decisions in Brazil,Leonardo Bursztyn,10.1257/rct.1596-1.0,2016-11-04,1596
AEARCTR-0001597,Measuring attention to sales taxes,Dmitry Taubinsky,10.1257/rct.1597-2.0,2016-09-19,1597
AEARCTR-0001598,Experimental Evaluation of Asymmetric Family Planning Information in Tanzania,Aine McCarthy,10.1257/rct.1598-1.3,2016-09-19,1598
AEARCTR-0001599,"Politicians, Publicly-Released Audits of Corruption, and Electoral Outcomes in Brazil",Frederico Finan,10.1257/rct.1599-1.0,2016-10-21,1599
AEARCTR-0001600,The Effect of Information and Subsidies on Chlorine Usage in Zambia,Kelsey Jack,10.1257/rct.1600-1.0,2016-12-11,1600
AEARCTR-0001601,Teaching the Tax Code: Earnings Responses to an Experiment with EITC Recipients,Raj Chetty,10.1257/rct.1601-1.0,2016-10-03,1601
AEARCTR-0001602,"Peer effects of After-school programs on vulnerability, violence and academic outcomes. Evidence from El Salvador.",Lelys Dinarte,10.1257/rct.1602-1.1,2016-09-20,1602
AEARCTR-0001604,An Evaluation of a Prisoner Reentry Program for Indigenous Australians,Rebecca Goldstein,10.1257/rct.1604-4.0,2016-10-06,1604
AEARCTR-0001607,"Commitment Contracts and School Competition for Smoking
Prevention in Indonesia",Margaret Triyana,10.1257/rct.1607-2.0,2017-01-19,1607
AEARCTR-0001608,Testing Legislator Responsiveness to Citizens and Firms in the Vietnamese National Assembly: A Field Experiment,Jason Todd,10.1257/rct.1608-4.0,2016-09-22,1608
AEARCTR-0001610,The Long Run Impact of Temporary Incentives on Healthworker Performance in Argentina,PAUL GERTLER,10.1257/rct.1610-1.0,2016-10-19,1610
AEARCTR-0001612,Psychological Frictions and the Incomplete Take-Up of Social Benefits: Evidence from an IRS Field Experiment in the United States,Dayanand Manoli,10.1257/rct.1612-1.0,2016-09-29,1612
AEARCTR-0001613,The Impact of Microfinance on Social Capital and Female Empowerment in India,Benjamin Feigenberg,10.1257/rct.1613-1.0,2016-10-04,1613
AEARCTR-0001614,Returns to Physician Human Capital,Joseph Doyle,10.1257/rct.1614-1.0,2016-10-24,1614
AEARCTR-0001615,The Impact of Targeting Cash Transfers on Household Expenditures and Women's Empowerment in Macedonia,Orazio Attanasio,10.1257/rct.1615-1.0,2016-10-01,1615
AEARCTR-0001617,Is self-other decision making affected by the source of the income?,Elisabeth Angela Krampl,10.1257/rct.1617-1.0,2016-09-27,1617
AEARCTR-0001620,Evaluation of the Impact of the Introduction of Electronic Point of Sale (ePOS) Machines in the Public Distribution System (PDS) in Jharkhand,Sandip Sukhtankar,10.1257/rct.1620-6.1,2017-04-14,1620
AEARCTR-0001621,We Can Manage,Kjetil Bjorvatn,10.1257/rct.1621-1.0,2016-09-27,1621
AEARCTR-0001622,The Impact of Price and Messaging on Bank Overdraft Usage in Turkey,Dean Karlan,10.1257/rct.1622-1.0,2016-10-28,1622
AEARCTR-0001623,Responsiveness of Public Administration to Behavioral Appeals - Evidence From a Field Experiment in Germany,Philipp Doerrenberg,10.1257/rct.1623-3.0,2016-09-27,1623
AEARCTR-0001624,The Impact of LinkedIn on Disconnected Young Work-Seekers: Evidence from South Africa,Laurel Wheeler,10.1257/rct.1624-10.5,2016-09-27,1624
AEARCTR-0001630,The impact of formal savings on salaried workers’ spending and borrowing in Eastern Ghana,Simone Schaner,10.1257/rct.1630-1.0,2016-10-05,1630
AEARCTR-0001631,Job search and matching with two-sided limited information,Robert Garlick,10.1257/rct.1631-10.1,2016-09-29,1631
AEARCTR-0001632,Impact of Female Leadership on Aspirations and Educational Attainment for Teenage Girls in India,Esther  Duflo,10.1257/rct.1632-1.0,2016-10-24,1632
AEARCTR-0001633,The Impact of Women Policy Makers on Public Goods in India,Esther  Duflo,10.1257/rct.1633-1.0,2016-10-24,1633
AEARCTR-0001634,Perceptions of Female Leaders in India,Esther  Duflo,10.1257/rct.1634-2.0,2016-10-24,1634
AEARCTR-0001636,Impact Evaluation of a Large-Scale Rural Sanitation Project in Indonesia,Lisa Cameron,10.1257/rct.1636-1.0,2016-09-29,1636
AEARCTR-0001637,Accelerated Study in Associate Programs (ASAP) for Developmental Education Students,Susan Scrivener,10.1257/rct.1637-1.0,2016-10-04,1637
AEARCTR-0001638,OpenTeQ - Opening the black box of Teacher Quality,Gianluca Argentin,10.1257/rct.1638-1.0,2017-06-06,1638
AEARCTR-0001640,Upgrading Slum Infrastructure in Mexico,Craig McIntosh,10.1257/rct.1640-1.0,2016-12-02,1640
AEARCTR-0001641,Government Mobile Salary Payments in Afghanistan,Michael Callen,10.1257/rct.1641-4.1,2016-11-10,1641
AEARCTR-0001642,Comparing the Impacts of Industrial Jobs and Self-Employment in Ethiopia,Christopher Blattman,10.1257/rct.1642-1.0,2016-11-01,1642
AEARCTR-0001643,The Role of Social Signaling in Community Mass Deworming: Evidence from a Field Experiment in Kenya ,Anne Karing,10.1257/rct.1643-4.0,2016-10-02,1643
AEARCTR-0001644,Project SUCCESS: a field experiment on social support and academic achievement in Further Education Colleges in the UK,Bibi Groot,10.1257/rct.1644-5.0,2016-10-02,1644
AEARCTR-0001645,The Impact of Mobile Pedagogical Tutors on the Education Outcomes of Children in Rural Areas of Mexico,Ciro Avitabile,10.1257/rct.1645-1.0,2016-10-02,1645
AEARCTR-0001646,WorkAdvance,Richard Hendra,10.1257/rct.1646-1.0,2016-10-04,1646
AEARCTR-0001647,Farm & Family Balance Study: the intra-household and gender dynamics of cash-cropping ,Kelly Jones,10.1257/rct.1647-2.1,2016-10-04,1647
AEARCTR-0001649,"Household Water Connections in Tangier, Morocco",Florencia Devoto,10.1257/rct.1649-1.0,2016-10-18,1649
AEARCTR-0001651,Addressing the Enigma of the Gift: The Role of Social Relations in Gift Exchange,Rosario Macera,10.1257/rct.1651-3.0,2016-10-04,1651
AEARCTR-0001654,An Evaluation of a Prisoner Reentry Program for Indigenous Australians,Rebecca Goldstein,10.1257/rct.1654-2.0,2016-10-06,1654
AEARCTR-0001655,An Evaluation of a School Attendance Program for Remote Australians,Rebecca Goldstein,10.1257/rct.1655-3.0,2016-10-17,1655
AEARCTR-0001656,Intertemporal Substitution and the Value of Work Hours Flexibility,Sydnee Caldwell,10.1257/rct.1656-4.0,2016-10-06,1656
AEARCTR-0001657,"Bangladeshi Association for Life skills, Income and Knowledge for Adolescents",Sajeda Amin,10.1257/rct.1657-1.0,2016-10-12,1657
AEARCTR-0001659,The Impact of Uncertainty on Take-Up and Subsequent Investment in New Technologies Among Farmers in Zambia,Kelsey Jack,10.1257/rct.1659-1.0,2016-12-11,1659
AEARCTR-0001661,Who cares who intervenes how?,Hendrik Bruns,10.1257/rct.1661-4.0,2016-11-28,1661
AEARCTR-0001662,"Information on polls, turnout and partisanship in South Africa's first competitive election",Kate Orkin,10.1257/rct.1662-1.0,2016-12-08,1662
AEARCTR-0001666,Voting and Habit Formation in the United States,Donald Green,10.1257/rct.1666-1.0,2016-11-25,1666
AEARCTR-0001668,"Hiring Discrimination Against Maghrebi Women in the National Capital Region of Quebec, Canada: An Econometric Analysis on Field Experiment Data",Simon Brière,10.1257/rct.1668-1.0,2016-10-15,1668
AEARCTR-0001669,What do Editors Maximize? A Survey on Paper Quality,Stefano DellaVigna,10.1257/rct.1669-1.0,2016-10-10,1669
AEARCTR-0001670,The Impact of Moral Persuasion and Dynamic Pricing on Energy Conservation in Japan,Koichiro Ito,10.1257/rct.1670-1.0,2016-11-06,1670
AEARCTR-0001673,Every Payment Counts: Prize-Linked Debt Reduction,Jeremy Burke,10.1257/rct.1673-2.0,2016-11-08,1673
AEARCTR-0001674,Employment Retention and Advancement Project--Texas Site,Gayle Hamilton,10.1257/rct.1674-1.0,2016-11-21,1674
AEARCTR-0001675,The Impact of Social Pressure on Charitable Giving in the United States,Stefano DellaVigna,10.1257/rct.1675-1.0,2016-11-18,1675
AEARCTR-0001677,Randomized Evaluation in Legal Assistance: What Difference Does Representation (Offer and Actual Use) Make?,James Greiner,10.1257/rct.1677-1.0,2017-08-31,1677
AEARCTR-0001678,Secret Keeping and Jobs for Women,Matt Lowe,10.1257/rct.1678-2.1,2016-10-15,1678
AEARCTR-0001679,Job Networks and Gender in Malawi,Lori Beaman,10.1257/rct.1679-3.0,2016-12-20,1679
AEARCTR-0001683,Evaluation of Information Provision on Servicemembers’ Civil Relief Act Decisions,Richard Patterson,10.1257/rct.1683-1.0,2016-10-17,1683
AEARCTR-0001684,Motivating Society's Best and Brightest: A Survey Experiment on the Flexibility of Goals,Max van Lent,10.1257/rct.1684-3.0,2016-10-26,1684
AEARCTR-0001686,"Gender Norms, the Dating Market, and Job Search: Additional Survey",Thomas Fujiwara,10.1257/rct.1686-1.0,2016-10-21,1686
AEARCTR-0001687,Hiring Effective Math Teachers: More Knowledge vs. Better Delivery ,Seonghoon Kim,10.1257/rct.1687-1.0,2016-11-23,1687
AEARCTR-0001689,Racial and Gender Discrimination in Transportation Network Companies,Christopher Knittel,10.1257/rct.1689-1.0,2016-10-19,1689
AEARCTR-0001690,How Effective Are Limited Legal Assistance Programs? A Randomized Experiment in a Massachusetts Housing Court,James Greiner,10.1257/rct.1690-1.0,2017-08-31,1690
AEARCTR-0001691,"Unequal pay, fairness concerns, and effort choice",Nick Zubanov,10.1257/rct.1691-1.0,2016-10-20,1691
AEARCTR-0001692,Career Academies: Exploring College and Career Options,James J. Kemple,10.1257/rct.1692-1.0,2017-02-17,1692
AEARCTR-0001694,External Evaluation of Mobile Phone Technology Based Nutrition Advisory Services (mNutrition),Giordano Palloni,10.1257/rct.1694-1.0,2016-10-21,1694
AEARCTR-0001695,Does the provision of information on outcomes of local governments improve political accountability?,Maximiliano Garcia,10.1257/rct.1695-2.0,2016-10-21,1695
AEARCTR-0001699,Intra-household dynamics and farm productivity: the effects of women's access to irrigated land rental and inputs,Kelly Jones,10.1257/rct.1699-1.0,2016-10-22,1699
AEARCTR-0001700,Information and Social Interaction in Savings Decisions in the United States,Esther  Duflo,10.1257/rct.1700-1.0,2017-01-11,1700
AEARCTR-0001701,"Remedying Education: Evidence from two randomized experiments in India 
",Shawn Cole,10.1257/rct.1701-1.0,2017-01-11,1701
AEARCTR-0001702,Can Informational Campaigns Raise Awareness and Local Participation in Primary Education in India?,Esther  Duflo,10.1257/rct.1702-1.0,2017-01-11,1702
AEARCTR-0001703,Does Knowledge of Constitutional Principles Increase Support for Civil Liberties in the United States?,Donald Green,10.1257/rct.1703-1.0,2017-04-19,1703
AEARCTR-0001705,The Impact of Technology on Electoral Participation in South Africa,Craig McIntosh,10.1257/rct.1705-1.0,2016-12-02,1705
AEARCTR-0001706,Minding Small Change among Small Firms in Kenya,Lori Beaman,10.1257/rct.1706-1.0,2016-12-06,1706
